Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
2023-12-31;01001;Flensburg, kreisfreie Stadt;Total;10310;e;8710;e;19020;e
;;;videlicet:;;;;;;
;;;Europe;5960;e;5495;e;11455;e
;;;EU-27 (since 2020-02-01);4425;e;3580;e;8005;e
;;;EU-27 third countries (since 2020-02-01);5885;e;5130;e;11015;e
;;;EU-28 (until 2020-01-31);4450;e;3600;e;8050;e
;;;EU-28 third countries (until 2020-01-31);5860;e;5110;e;10970;e
;;;EU-27 (until 2013-06-30);4325;e;3520;e;7845;e
;;;EU-27 third countries (until 2013-06-30);5985;e;5190;e;11175;e
;;;EU-25 (until 2006-12-31);2395;e;1945;e;4340;e
;;;EU-25 third countries (until 2006-12-31);7915;e;6765;e;14680;e
;;;EU-15 (until 2004-04-30);1730;e;1360;e;3090;e
;;;EU-15 third countries (until 2004-04-30);8580;e;7350;e;15930;e
;;;EC-12 (until 1994-12-31);1655;e;1280;e;2935;e
;;;EC-12 third countries (until 1994-12-31);8655;e;7430;e;16085;e
;;;EC-10 (until 1985-12-31);1580;e;1225;e;2805;e
;;;EC-10 third countries (until 1985-12-31);8730;e;7490;e;16215;e
;;;EC-9 (until 1980-12-31);1465;e;1115;e;2575;e
;;;EC-9 third countries (until 1980-12-31);8845;e;7600;e;16445;e
;;;EEC-6 (until 1972-12-31);165;e;130;e;295;e
;;;EEC-6 third countries (until 1972-12-31);10145;e;8580;e;18725;e
;;;Africa;705;e;460;e;1165;e
;;;North Africa;180;e;85;e;265;e
;;;West Africa;105;e;70;e;175;e
;;;Central Africa;30;e;15;e;45;e
;;;East Africa;380;e;280;e;655;e
;;;Southern Africa;15;e;15;e;30;e
;;;America;110;e;140;e;250;e
;;;North America;35;e;50;e;90;e
;;;Central America and Caribbean;20;e;30;e;50;e
;;;South America;55;e;60;e;115;e
;;;Asia;3370;e;2505;e;5875;e
;;;South West Asia;2280;e;1805;e;4085;e
;;;South and South East Asia;280;e;320;e;595;e
;;;East and Central Asia;810;e;385;e;1190;e
;;;Australia and Oceania;10;e;10;e;20;e
;;;Countries of origin of foreign workers;1255;e;1000;e;2255;e
;;;Territory of former Yugoslavia;410;e;330;e;740;e
;;;Territory of former Serbia and Montenegro;155;e;140;e;295;e
;;;Territory of the former Soviet Union;900;e;1445;e;2345;e
;;;Territory of former Czechoslovakia;30;e;20;e;45;e
;;;United Kingdom incl. British overseas territories;25;e;20;e;45;e
;01002;Kiel, kreisfreie Stadt;Total;18990;e;17770;e;36755;e
;;;videlicet:;;;;;;
;;;Europe;8765;e;9640;e;18405;e
;;;EU-27 (since 2020-02-01);3875;e;3840;e;7715;e
;;;EU-27 third countries (since 2020-02-01);15110;e;13930;e;29040;e
;;;EU-28 (until 2020-01-31);3965;e;3900;e;7865;e
;;;EU-28 third countries (until 2020-01-31);15025;e;13870;e;28895;e
;;;EU-27 (until 2013-06-30);3820;e;3820;e;7640;e
;;;EU-27 third countries (until 2013-06-30);15170;e;13950;e;29120;e
;;;EU-25 (until 2006-12-31);2520;e;2490;e;5005;e
;;;EU-25 third countries (until 2006-12-31);16470;e;15280;e;31750;e
;;;EU-15 (until 2004-04-30);1300;e;1145;e;2445;e
;;;EU-15 third countries (until 2004-04-30);17690;e;16625;e;34315;e
;;;EC-12 (until 1994-12-31);1095;e;890;e;1980;e
;;;EC-12 third countries (until 1994-12-31);17895;e;16880;e;34775;e
;;;EC-10 (until 1985-12-31);880;e;685;e;1565;e
;;;EC-10 third countries (until 1985-12-31);18110;e;17085;e;35195;e
;;;EC-9 (until 1980-12-31);640;e;520;e;1165;e
;;;EC-9 third countries (until 1980-12-31);18345;e;17245;e;35595;e
;;;EEC-6 (until 1972-12-31);460;e;360;e;820;e
;;;EEC-6 third countries (until 1972-12-31);18525;e;17410;e;35935;e
;;;Africa;1280;e;955;e;2235;e
;;;North Africa;370;e;235;e;605;e
;;;West Africa;435;e;320;e;760;e
;;;Central Africa;70;e;75;e;150;e
;;;East Africa;375;e;285;e;665;e
;;;Southern Africa;20;e;35;e;60;e
;;;America;425;e;540;e;965;e
;;;North America;140;e;155;e;295;e
;;;Central America and Caribbean;65;e;85;e;150;e
;;;South America;215;e;305;e;520;e
;;;Asia;8240;e;6435;e;14675;e
;;;South West Asia;6035;e;4575;e;10605;e
;;;South and South East Asia;940;e;925;e;1865;e
