admin_id,lan_name,east_west,mean_livespace_district,mean_vacancy_district,total_population,income_weighted_sum,mean_income_district,mean_green_area_district
01001,Schleswig-Holstein,West,58.4545833333,2.3575,190030,0,0,1204400
01002,Schleswig-Holstein,West,52.4186538462,2.02276595745,498264,0,0,5527400
01003,Schleswig-Holstein,West,55.7472781065,2.67533783784,431916,0,0,2550300
01004,Schleswig-Holstein,West,61.1820634921,3.21706896552,79625,0,0,1472900
01051,Schleswig-Holstein,West,70.4088863653695,2.8382234779522455,150294,3044631000,20257.83464409757,0
01053,Schleswig-Holstein,West,63.4736291308797,2.290778450048827,203381,4652098000,22873.808271175774,55816.54135338342
01054,Schleswig-Holstein,West,69.03413156510909,4.117220156413711,201540,4552609000,22589.108861764413,0
01055,Schleswig-Holstein,West,65.07716673812558,3.4732316074318605,260951,5750420000,22036.397637870712,59695.34883720931
01056,Schleswig-Holstein,West,64.15371115627038,2.116183885090426,359605,8851365000,24614.132172800713,111551.8518518519
01057,Schleswig-Holstein,West,66.98380138058636,2.819472712845625,136795,3086670000,22564.20190796447,32601.13636363637
01058,Schleswig-Holstein,West,68.75148966592701,2.471289959089069,306905,7051490000,22976.132679493654,42191.37931034484
01059,Schleswig-Holstein,West,68.85957437792138,3.302058419261924,273355,5532166000,20238.027473431983,28993.10344827586
01060,Schleswig-Holstein,West,67.58146844705416,2.4619943412280936,277323,6386282000,23028.317160855753,75844.79166666667
01061,Schleswig-Holstein,West,68.28396561678824,1.9868640738545547,148470,3065628000,20648.130935542533,0
01062,Schleswig-Holstein,West,64.3747934194891,2.2367852225618545,245049,6532600000,26658.34180102755,117847.27272727265
02000,Hamburg,West,55.9615653495,2.36383471074,3617692,0,0,51319000
03101,Niedersachsen,West,60.75,3.85417808219,252816,0,0,8341900
03102,Niedersachsen,West,62.7223076923,6.86050420168,104215,0,0,3354100
03103,Niedersachsen,West,60.3635042735,4.67972477064,127145,0,0,2957200
03151,Niedersachsen,West,71.26183007119286,3.643422224495,174662,4290532000,24564.77081448741,69745.23809523808
03153,Niedersachsen,West,66.99517303418334,11.324809525801667,127606,2482666000,19455.715248499288,0
03154,Niedersachsen,West,66.78632021946429,6.6172440386057145,90546,2043503000,22568.672277074635,55907.14285714287
03155,Niedersachsen,West,71.887723952175,6.581010893459167,126230,2661733000,21086.37407906203,263416.6666666667
03157,Niedersachsen,West,66.54965296235714,3.926629642957143,136119,2870916000,21091.22165164305,245442.85714285713
03158,Niedersachsen,West,64.20914111518286,5.112199629206572,117702,2713005000,23049.77825355559,60142.857142857145
03159,Niedersachsen,West,67.89171975336667,4.375682882538718,325699,6602566000,20271.987325720987,179944.11764705885
03241,Niedersachsen,West,64.62087267625238,3.6191040940890478,1129158,26030197000,23052.749925165477,2065709.523809524
03251,Niedersachsen,West,71.89996394764889,4.063369356055267,218256,4852964000,22235.191701488162,123306.66666666669
03252,Niedersachsen,West,69.3879526783625,6.24114062462875,150288,2929791000,19494.510539763654,0
03254,Niedersachsen,West,69.13610297345,4.8745124391785,267027,5610888000,21012.43694457864,245700
03255,Niedersachsen,West,67.79296394764103,7.529094012112307,66159,1277275000,19306.1412657386,0
03256,Niedersachsen,West,72.08016040813,3.637366219468633,120611,2345524000,19447.015612174677,0
03257,Niedersachsen,West,68.87054357048947,5.512858800261579,156414,3199661000,20456.359405168336,104623.68421052633
